District,Province,Latitude,Longitude,Elevation
Ampara,Eastern,7.275923,81.693474,38
Anuradhapura,North central,8.330404,80.42882,95
Badulla,Uva,6.9947276,81.03797,676
Batticaloa,Eastern,7.6977153,81.65106,10
Colombo,Western,6.924429,79.90725,4
Galle,Southern,6.0808434,80.23373,8
Gampaha,Western,7.0650263,79.96622,19
Hambantota,Southern,5.940246,80.55,6
Jaffna,Northern,9.66608,80.034874,8
Kalutara,Western,6.572935,80.02519,5
Kandy,Central,7.275923,80.62659,499
Kegalle,Sabaragamuwa,7.275923,80.32176,172
Kilinochchi,Northern,9.384886,80.38228,19
Kurunegala,North Western,7.4868193,80.37352,129
Mannar,Northern,8.963093,79.96543,5
Matale,Central,7.4868193,80.52632,362
Matara,Southern,6.1511426,81.127815,8
Moneragala,Uva,6.8541303,81.35636,152
Mulativu,Northern,9.244288,80.789246,5
Nuwara Eliya,Central,6.9947276,80.73418,1865
Polonnaruwa,North central,7.908612,81.01536,56
Puttalam,North Western,8.04921,79.84615,4
Ratnapura,Sabaragamuwa,6.7135324,80.38688,73
Trincomalee,Eastern,8.611599,81.170395,8
Vavuniya,Northern,8.752197,80.53448,104
